dataset_name,category,rows,target_column,class_distribution,missing_values,duplicate_rows,leakage_concerns,quality_status,used_for_training,reason_for_decision
final_emails.csv,Email Text (NLP),8481,label,"{'safe': 5000, 'phishing': 3000, 'spam': 481}",0,0,None. Cleaned Enron/SpamAssassin/Kaggle emails with balanced multi-class distribution and 0 duplicates.,High Quality,True,"Primary multi-class training dataset containing 5,000 safe, 3,000 phishing, and 481 spam emails. Zero text duplicates."
phishing_clean.csv,Email Text (NLP),6000,label,"{'safe': 3000, 'phishing': 3000}",0,4,Minor: 4 duplicate texts. Subsumed inside final_emails.csv with safe emails.,Good,False,Excluded because its samples are already deduplicated and incorporated into final_emails.csv. Training on both would cause train/test duplication.
large_emails.csv,Email Text (NLP),3049,label,"{'safe': 2551, 'spam': 498}",0,159,Contains 159 duplicates. Contains 0 phishing emails (only safe and spam).,Imbalanced / Incomplete,False,"Excluded because it has 0 phishing emails, contains duplicate rows, and its unique samples are already integrated into final_emails.csv."
Phishing_validation_emails.csv,Email Text (Synthetic Validation),2000,Email Type,"{'Safe Email': 1000, 'Phishing Email': 1000}",0,1900,"CRITICAL: 1,900 out of 2,000 rows (95%) are duplicates! Only 100 unique templates repeated 20 times each.",Severely Duplicated / Synthetic,False,Excluded from training due to massive text duplication (95% duplicate rate) which would cause catastrophic evaluation leakage.
emails.csv,Email Text (Toy Dataset),15,label,"{'safe': 5, 'spam': 5, 'phishing': 5}",0,0,Only 15 sample rows.,Toy / Demo Only,False,Excluded due to tiny sample size (15 rows). Intended only as initial development stub.
A_Email_ML_Dataset.csv,Tabular Feature Dataset,1000,label,"{'0': 503, '1': 497}",0,0,"Contains engineered numerical features (urgency, url_count, html_ratio), no raw email text. Not usable for TF-IDF NLP pipeline.",Tabular Only,False,"Excluded from text ML training because it lacks raw email text. Feature definitions (urgency_keyword_count, credential_request_flag) are utilized in the rule-based Threat Scoring Engine."
F_Authentication_Forensic_Dataset.csv,Forensic / Auth Metadata,1000,label,"{'0': 503, '1': 497}",0,0,"Contains header metadata (SPF, DKIM, DMARC, hops). No email text.",Tabular Metadata,False,Excluded from text ML training because it lacks email body text. Authentication and header logic is implemented directly in the Forensic Parser and Threat Scorer.
M6_Attachmen_Dataset.csv,Attachment Threat Intelligence,200,label,"{'1': 100, '0': 100}",0,0,Entropy score is artificially correlated with label (7.45 for label 1 vs 3.2 for label 0). Not suitable for statistical ML training.,Threat Intel / IOC Signatures,False,Excluded from ML training due to artificial entropy distribution. Retained as reference threat intelligence for SHA-256 malware hash and Emotet signature exact lookups.
M6_Attachment_Final.csv,Attachment Metrics,200,label,"{'1': 100, '0': 100}",0,0,"Multiple columns are completely NaN (number_of_dots, double_extension, extension_mime_mismatch). Entropy has perfect correlation (r=1.0) with label.",Unsuitable for ML / Incomplete,False,Excluded due to perfect label leakage on entropy and entirely missing columns.
M6_Domain_DNS_Final.csv,Domain & DNS Intelligence,10000,label,"{'1': 5000, '0': 5000}",30000,0,10 empty/NaN columns at end. High correlation with domain_length and hyphen_count. No email text.,IOC Reference Data,False,"Excluded from text ML training (no email text). Retained as a 10,000-domain IOC reference dataset for checking suspicious domains, MX record counts, and DNS authentication."
M6_Domain_DNS_Phishing_Dataset.csv,Domain & DNS Intelligence,10000,label,"{'1': 5000, '0': 5000}",0,0,"Domain features only, no email text.",IOC Reference Data,False,Subsumed by M6_Domain_DNS_Final.csv.
M6_URL.csv,URL Threat Intelligence,15000,label,"{'1': 7500, '0': 7500}",0,0,"URL-only dataset, not email body text.",High Quality IOC Feed,False,Excluded from email text NLP training because it consists only of URLs. Utilized as an active IOC threat database for fast exact-match URL reputation checking.
M6_IP_URL_Threat_Intelligence_Dataset.xlsx,Threat Intelligence Feeds (IP & URL),200,label,"{'IP_Detection_label_1': 100, 'URL_Detection_label_1': 100}",760,0,External threat feed indicators (MISP / IPsum Level 6 & OpenPhish feeds).,High Quality External Threat Intel,False,Excluded from email text NLP training. Utilized as authoritative threat intelligence IOC feeds for runtime IP and URL reputation queries.
