email_text,label
"please delete this soon as per jeff ' s request .
krishna .
- - - - - - - - - - - - - - - - - - - - - - forwarded by pinnamaneni krishnarao / hou / ect on
04 / 05 / 2001 03 : 06 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jeff fleming "" on 04 / 05 / 2001 01 : 46 : 26 pm
please respond to
to :
cc :
subject : re : hi !
good to hear from you . things are going pretty well hear , but busy with the
end of the semester coming up .
as for u of h , i guess there are several possibilities depending on what
shane wants to do . the best researcher in their group by far , in my
opinion , is bong - soo lee . but he does more general asset pricing stuff .
minnesota econ phd , really smart . their main derivatives guy is rabon
rabinovich . he ' s done some good work in the past but not very active in the
last five or ten years . or , you could go with ron singer or art warga
( art ' s more respected and more active ) . these guys are more senior , more
general , and do more research than ramon - - i would guess that they tend to
be the workhorses in terms of advising phd students at u of h .
in any case , please destroy this info as soon as you digest it . i would
hate for my candidate assessments to ever get passed along to the good folks
at u of h .
jeff
jeff fleming
associate professor
jones graduate school of management - - ms 531
rice university
6100 main street
houston , tx 77005
713 / 348 - 4677 ( voice )
713 / 348 - 5251 ( fax )
http : / / www . ruf . rice . edu / ~ jfleming",safe
"saludos
si usted no puede ver este mensaje haga click aqui . . .
justificacion
la auditoria financiera en las organizaciones es cada da ms compleja y especializada y busca de manera permanentelamanera ms eficiente para el logro de un adecuado control interno , es all donde temas como la auditoria forense e investigativa , toma fuerza para convertirse en una auditoria especializada que busca indicios y evidencias , para convertirlas en pruebas en los juicios y evitar as la alta impunidad especialmente en investigaciones de delitos econmicos y financieros como el lavado dedinero y activos .
objetivo
actualizar a los participantes en las tcnicas y procedimientos de investigacin legal que se aplican en la auditoria forense , abordando la terminologa jurdica adecuada y profundizando en los conocimientos contables y financieros , para comprobar mediante pruebas ; operaciones de lavado de dinero y activos , registrada en informacin financiera y no financiera .
contenido
normatividad e interpretacin jurdica
procedimientos de auditoria forense aplicados a la investigacin de lavado de dinero y activos .
evaluacin de control interno por parte del auditor forense para garantizar la debida diligencia en la deteccin de lavado de activos .
modalidades de lavado de activos y su investigacin mediante la auditoria forense .
optimizacin de estructuras societarias .
reducciones de capital
aspectos jurdicos en la compra y venta de sociedades
conferencista : dr . miguel antonio cano
contador pblico especializado en finanzas de conmunity college universidad de miami y en auditoria de sistemas con estudios en prevencin de crmenes organizados . actualmente es conferencista y consultor sobre el tema de auditoria forense en varios pases en amrica y el caribe , miembro del instituto de auditores internos captulo colombia .
inversion
afiliados
$ 220 . 000 + iva
no afiliados
$ 395 . 000 + iva
egresados de economia uao : $ 370 . 000 + iva
incluye :
almuerzo , refrigerios y certificado de asistencia .
lugar , fecha y horario
cali , club colombia , julio 13 de 2005
horario : viernes 13 de 8 : 30 am a 6 : 30 pm
favor consignar en conavi cuenta de ahorros # 3041 - 11576510 a nombre de acef - valle nit : 800 . 133 . 689 - 7
informes e inscripciones
edificio nucleo profesional - avenida 5 a norte no . 17 - 98 oficina 701
tels : ( 57 2 ) 6603323 - 6666978 - 6607195 fax : 6536090 . acef @ acef . com . co
www . acef . com . co
acef bogot
telfonos : 2130903 - 6203339 - 6203543
fax : 2130909
acefbogota @ cable . net . co
acef antioquia - medellin
telfonos : 3331079 - 3323026 - 3335059
acef @ epm . net . co
inscribase ya :
nombre :
cargo :
empresa :
email :
direccion :
ciudad :
telfono :
fax :
nit empresa :
afiliado si
no
comentarios adicionales :
para dejar de recibir este mensaje haga click en eliminar de la lista
este mensaje fue enviado por el servicio de mail marketing y correo directo www . pallmera . com
pallmera  2003
",phishing
"Per Jessen wrote:

> I'm quite tempted to move the system outside tomorrow - in the early
> morning we're a couple of degrees below - with a huge external fan, I
> should be able to keep the whole thing _very_ cold.  Mind you, I will
> be disappointed if it then starts to work.  The amount of cooling I've
> got should be enough.

OK, yesterday morning I moved the box outside, hooked it up with network
and power.  Outdoor temperature was -1C . 

Temperature rose to about 6 in the afternoon, but the machine actually
ran pretty stable throughout the day.  I had one lockup which needed a
hard reset, but I haven't been able to reproduce that. 

Whilst running 4 x mprime, the temperatures as seen by sensors
stabilised at this:

work        System      CPU    temp3    Outdoor
4 mprime        39       51       81          5
4 mprime        35       50       80          6

So it's all about cooling.  The interesting thing is - the machine uses
the AMD supplied CPU heatsink and fan.  It's got additional fans and
heatsinks to improve the air/heat flow.  How do I improve on the
cooling without looking at water-cooling and such? 

Today I've removed the left cover and set up a large fan (similar to the
one shown in the picture on the right hand side here: 
http://en.wikipedia.org/wiki/Fan_%28mechanical%29)

work        System      CPU    temp3       Room
1 mprime        35       46       80         21
2 mprime        35       51       81         21
3 mprime        36       56       81         21
4 mprime        38       60       81         21


Well - the system remains unstable and automatically reboots after a
while, maybe 10-15mins, of running 4 x mprime.  I've already got an
RMA# so I think this board is going back after all. 


/Per Jessen, Zürich



",safe
"
ACTIVITY SUMMARY (02/29/08 - 03/07/08)
Tracker at http://bugs.python.org/

To view or respond to any of the issues listed below, click on the issue 
number.  Do NOT respond to this message.


 1730 open (+28) / 12348 closed (+13) / 14078 total (+41)

Open issues with patches:   468

Average duration of open issues: 739 days.
Median duration of open issues: 1136 days.

Open Issues Breakdown
   open  1706 (+25)
pending    24 ( +3)

Issues Created Or Reopened (41)
_______________________________

Cookie.Morsel interface needs update                             02/29/08
       http://bugs.python.org/issue2211    created  astronouth7303            
                                                                               

Cookie.BaseCookie has ambiguous unicode handling                 02/29/08
       http://bugs.python.org/issue2212    created  astronouth7303            
                                                                               

build_tkinter.py does not handle paths with spaces               03/01/08
       http://bugs.python.org/issue2213    created  JosephArmbruster          
                                                                               

make htmlhelp raises non-reproducable exception                  03/01/08
CLOSED http://bugs.python.org/issue2214    created  loewis                    
                                                                               

test_sqlite fails in 2.6a1 on MacOS X                            03/02/08
       http://bugs.python.org/issue2215    created  MrJean1                   
                                                                               

Problems using logging module with idle                          03/02/08
       http://bugs.python.org/issue2216    created  ag6502                    
       patch                                                                   

Problem with if clause in generator expression on class level    03/02/08
CLOSED http://bugs.python.org/issue2217    created  cito                      
                                                                               

Enhanced hotshot profiler with high-resolution timer             03/02/08
       http://bugs.python.org/issue2218    created  MrJean1                   
                                                                               

Py30a3: Possibly confusing message when module detection fails   03/03/08
       http://bugs.python.org/issue2219    created  mark                      
                                                                               

bug in rlcompleter                                               03/03/08
CLOSED http://bugs.python.org/issue2220    created  donlorenzo                
       patch, easy                                                             

Py30a3: calltip produces error output to stderr                  03/03/08
       http://bugs.python.org/issue2221    created  mark                      
                                                                               

Memory leak in os.rename?                                        03/03/08
       http://bugs.python.org/issue2222    created  ocean-city                
       patch                                                                   

regrtest.py -R not working                                       03/03/08
       http://bugs.python.org/issue2223    created  ocean-city                
       patch                                                                   

branches/trunk-math patch                                        03/03/08
       http://bugs.python.org/issue2224    created  tiran                     
       patch                                                                   

py_compile.main() does not return error code                     03/03/08
CLOSED http://bugs.python.org/issue2225    created  catlee                    
       patch, easy                                                             

Small _abcoll Bugs / Oddities                                    03/03/08
       http://bugs.python.org/issue2226    created  aronacher                 
                                                                               

time.strptime too strict?  should it assume current year?        03/03/08
       http://bugs.python.org/issue2227    created  gregory.p.smith           
       easy                                                                    

Imaplib speedup patch                                            03/03/08
       http://bugs.python.org/issue2228    created  aaronkaplan               
                                                                               

Search in 2.6 docs does not work                                 03/04/08
       http://bugs.python.org/issue2229    created  tebeka                    
                                                                               

Document PyArg_Parse* behavior on failed conversion              03/04/08
CLOSED http://bugs.python.org/issue2230    created  belopolsky                
       patch                                                                   

Memory leak in itertools.chain()                                 03/04/08
CLOSED http://bugs.python.org/issue2231    created  ocean-city                
       patch                                                                   

Current os.tmpfile() implementation requires admin privs on Vist 03/04/08
CLOSED http://bugs.python.org/issue2232    created  Trent.Nelson              
       patch                                                                   

Makefile.pre.in contains extra slash before $(DESTDIR) which can 03/04/08
       http://bugs.python.org/issue2233    created  jlt63                     
       patch, patch                                                            

cygwinccompiler.py fails for latest MinGW releases.              03/04/08
       http://bugs.python.org/issue2234    created  kermode                   
       patch                                                                   

__eq__ / __hash__ check doesn't take inheritance into account    03/04/08
       http://bugs.python.org/issue2235    created  jek                       
       patch                                                                   

Distutils' mkpath implementation ignoring the ""mode"" parameter   03/04/08
       http://bugs.python.org/issue2236    created  henrique                  
       patch                                                                   

Inconsistent variable lookup                                     03/04/08
CLOSED http://bugs.python.org/issue2237    created  swarecki                  
                                                                               

TypeError instead of SyntaxError for syntactically invalid gen e 03/05/08
       http://bugs.python.org/issue2238    created  NathanCollins             
                                                                               

Tiny patch to cmdline docs                                       03/05/08
CLOSED http://bugs.python.org/issue2239    created  tim.golden                
       patch                                                                   

setitimer, getitimer wrapper                                     03/05/08
       http://bugs.python.org/issue2240    created  gpolo                     
       patch                                                                   

Additional Flag For Unit-Test Module: There Can Be Only One (Err 03/05/08
CLOSED http://bugs.python.org/issue2241    created  bcwhite                   
                                                                               

Decoding UTF-7 with ""ignore warnings"" crashes Python on Windows  03/06/08
       http://bugs.python.org/issue2242    created  cpalmer                   
                                                                               

urllib2. strange behavior for getting chuncked transfer-ecnoded  03/06/08
       http://bugs.python.org/issue2243    created  begemoth                  
                                                                               

urllib and urllib2 decode userinfo multiple times                03/06/08
       http://bugs.python.org/issue2244    created  carljm                    
       patch                                                                   

aifc cannot handle unrecognised chunk type ""CHAN""                03/06/08
       http://bugs.python.org/issue2245    created  loki_dePlume              
                                                                               

itertools.groupby() leaks memory with circular reference         03/06/08
CLOSED http://bugs.python.org/issue2246    created  asmodai                   
       patch                                                                   

Test auto-assignment                                             03/06/08
CLOSED http://bugs.python.org/issue2247    created  loewis                    
                                                                               

quit() method of SMTP instance (of smtplib) doesn't return it's  03/07/08
       http://bugs.python.org/issue2248    created  funagayama                
       patch                                                                   

To document ""assertTrue"" in unittest                             03/07/08
       http://bugs.python.org/issue2249    created  jcea                      
                                                                               

rlcompleter raises Exception on bad input                        03/07/08
       http://bugs.python.org/issue2250    created  donlorenzo                
       patch                                                                   

tarfile using nonexistent function                               03/07/08
CLOSED http://bugs.python.org/issue2251    created  GotenXiao                 
                                                                               



Issues Now Closed (24)
______________________

libffi needs an update to support mips64, arm and armeabi on lin   13 days
       http://bugs.python.org/issue1292    theller                   
                                                                               

use unittest for test_logging                                      57 days
       http://bugs.python.org/issue1740    brett.cannon              
       patch                                                                   

change the bool struct format code from 't' to '?'                 46 days
       http://bugs.python.org/issue1872    theller                   
       patch                                                                   

with should be as fast as try/finally                              12 days
       http://bugs.python.org/issue2179    amaury.forgeotdarc        
       patch                                                                   

cPickle error with gtk GEnum classes                                1 days
       http://bugs.python.org/issue2199    loewis                    
                                                                               

Bug in Sphinx highlighting when pygments not available              0 days
       http://bugs.python.org/issue2207    georg.brandl              
       patch                                                                   

Patch to doc/make.bat to allow non-standard HTML Help location      0 days
       http://bugs.python.org/issue2208    georg.brandl              
       patch                                                                   

make htmlhelp raises non-reproducable exception                     0 days
       http://bugs.python.org/issue2214    loewis                    
                                                                               

Problem with if clause in generator expression on class level       1 days
       http://bugs.python.org/issue2217    georg.brandl              
                                                                               

bug in rlcompleter                                                  3 days
       http://bugs.python.org/issue2220    georg.brandl              
       patch, easy                                                             

py_compile.main() does not return error code                        3 days
       http://bugs.python.org/issue2225    georg.brandl              
       patch, easy                                                             

Document PyArg_Parse* behavior on failed conversion                 0 days
       http://bugs.python.org/issue2230    georg.brandl              
       patch                                                                   

Memory leak in itertools.chain()                                    0 days
       http://bugs.python.org/issue2231    rhettinger                
       patch                                                                   

Current os.tmpfile() implementation requires admin privs on Vist    2 days
       http://bugs.python.org/issue2232    loewis                    
       patch                                                                   

Inconsistent variable lookup                                        0 days
       http://bugs.python.org/issue2237    amaury.forgeotdarc        
                                                                               

Tiny patch to cmdline docs                                          0 days
       http://bugs.python.org/issue2239    georg.brandl              
       patch                                                                   

Additional Flag For Unit-Test Module: There Can Be Only One (Err    1 days
       http://bugs.python.org/issue2241    purcell                   
                                                                               

itertools.groupby() leaks memory with circular reference            0 days
       http://bugs.python.org/issue2246    rhettinger                
       patch                                                                   

Test auto-assignment                                                0 days
       http://bugs.python.org/issue2247    loewis                    
                                                                               

tarfile using nonexistent function                                  0 days
       http://bugs.python.org/issue2251    lars.gustaebel            
                                                                               

Rational.py various bugfixes                                     1290 days
       http://bugs.python.org/issue1012468 jyasskin                  
       patch                                                                   

Memory leak in socket.py on Mac OS X                             1164 days
       http://bugs.python.org/issue1092502 vila                      
                                                                               

imaplib causes excessive fragmentation for large documents        805 days
       http://bugs.python.org/issue1389051 vila                      
       patch, easy                                                             

Distutils default exclude doesn't match top level .svn            286 days
       http://bugs.python.org/issue1725737 schmir                    
       patch                                                                   



Top Issues Most Discussed (10)
______________________________

 13 regrtest.py -R not working                                         4 days
open    http://bugs.python.org/issue2223   

  9 setitimer, getitimer wrapper                                       2 days
open    http://bugs.python.org/issue2240   

  8 Current os.tmpfile() implementation requires admin privs on Vis    2 days
closed  http://bugs.python.org/issue2232   

  8 with should be as fast as try/finally                             12 days
closed  http://bugs.python.org/issue2179   

  8 shutil.destinsrc returns wrong result when source path matches    28 days
open    http://bugs.python.org/issue2047   

  7 Tiny patch to cmdline docs                                         0 days
closed  http://bugs.python.org/issue2239   

  7 __eq__ / __hash__ check doesn't take inheritance into account      3 days
open    http://bugs.python.org/issue2235   

  7 test_sqlite fails in 2.6a1 on MacOS X                              6 days
open    http://bugs.python.org/issue2215   

  6 itertools.groupby() leaks memory with circular reference           0 days
closed  http://bugs.python.org/issue2246   

  6 Memory leak in os.rename?                                          4 days
open    http://bugs.python.org/issue2222   



",safe
"Hi there,

Try our revolutionary product, C_I_A_L_I_S Soft Tabs. New
improved formula makes it even better. 

Cialis Soft Tabs is the new impotence treatment drug that everyone
is talking about. Cialis acts up to 36 hours, compare this to
only two or three hours of Viagra action! The active ingredient is
Tadalafil, same as in brand Cialis.

Simply dissolve half a pill under your tongue, 10 min before
intercourse for the best erections you've ever had! Cialis also
have less sidebacks (you can drive or mix alcohol drinks with
them). No prior prescription is needed.

Worldwide shipping, thousands of happy customers!

You can get it at: http://endosonic.com/soft/





World RX Direct can bring you quality Generic Drugs for a
fraction of the cost of the expensive Brand Name equivalents.
Order our Tadalafil pills today and save 80%. We ship worldwide,
and currently supply to over 1 million customers globally! We
always strive to bring you the cheapest prices.

No thanks: http://endosonic.com/rr.php

",phishing
"Once upon a time Veeven (వీవెన్) wrote:
> I noticed that this is happening with wordpress blogs only. Wordpress
> is putting the filename of the image as the content of  type=""html"">
>
So what can I do to correct that issue?

Roland
",safe
"Michelle - What are your thoughts on this? Terry  -----Original Message----- From: 	Bosien, Teresa   Sent:	Tuesday, November 13, 2001 4:25 PM To:	Cash, Michelle Subject:	RE: Letter to Rescind Offer Does ADEA even apply when it comes to rescinding an offer?  I thought it only applied to terminations. Terry  -----Original Message----- From: 	Cash, Michelle   Sent:	Tuesday, November 13, 2001 4:22 PM To:	Bosien, Teresa; Mayes, Fran Cc:	Butcher, Sharon; Sullivan, Kriste; Palmer, Lizzette; McLoughlin, Hector Subject:	RE: Letter to Rescind Offer The minimum number of days should be 21, and they should have 7 days to revoke it.  Although the ADEA probably would not apply to A&A candidates, it could be an issue for the rest of the organization.  Michelle  -----Original Message----- From: 	Bosien, Teresa   Sent:	Tuesday, November 13, 2001 4:19 PM To:	Cash, Michelle; Mayes, Fran Cc:	Butcher, Sharon; Sullivan, Kriste; Palmer, Lizzette; McLoughlin, Hector Subject:	RE: Letter to Rescind Offer Michelle - After getting your message regarding the waiver, and discussing it with Hector McLoughlin, I've added some language to the original letter.    << File: Rescind Offer Letter Nov 2001.doc >>   -----Original Message----- From: 	Cash, Michelle   Sent:	Tuesday, November 13, 2001 4:03 PM To:	Mayes, Fran; Bosien, Teresa Cc:	Butcher, Sharon; Sullivan, Kriste; Palmer, Lizzette Subject:	Letter to Rescind Offer Attached is a proposed letter to use when rescinding an offer of employment.  I have consolidated drafts done by Fran Mayes and Terry Bosien.  If you have other forms that you think work better, please send them our way. I think it will be useful to work from the same document across Enron. Please note that each situation should be handled consistently with others in similar circumstances, and that special care should be taken for those who have quit prior jobs, relocated, or are in precarious visa situations.   Michelle << File: 5929mhc.doc >>",safe
"		Make sure you have Thursday, April 11, 2002 on your calendar
for a date with NESA and lots of mud bugs!  Join us from 5:00 p.m. until 8
p.m. at our 10th Annual Crawfish Boil at Woodrow's (3111 Chimney Rock) for
crawfish, jambalaya, beer and margaritas - all for $25 in advance or $30 at
the door!

		Just complete the bottom portion of this email and reply to
me, or print it off and fax to our office at 713/856-6199.  You can use your
credit card or mail this form with your check.  Everyone who registers in
advance will be eligible for a private drawing for HOUSTON TEXAN tickets; a
second drawing for ASTROS dugout tickets (compliments of MICHAEL ROBERTS
with Cinergy) will apply for the member who brings the most guests with
them.

		So, pass the word and don't miss out on the fun! LAISSEZ LES
BON TEMPS ROULE!

		NAME _____________________________________________

		COMPANY NAME ___________________________________

		GUEST NAME ______________________________________

		GUEST COMPANY NAME ____________________________

		CREDIT CARD # ____________________________________

		EXPIRATION DATE _________________________________

		Thanks again to our corporate sponsors of the year:  AQUILA,
INC.; DYNEGY AND EL PASO!

TERESA A. KNIGHT
Vice President, Member Services
teresa.knight@nesanet.org
(713) 856-6525
Fax (713)856-6199



",safe
"In thinking about this a bit more here is an even shorter solution where Lines.raw is as before: # Lines <- readLines(""myfile.ini"") Lines <- readLines(textConnection(Lines.raw)) Lines2 <- chartr(""[]"", ""=="", Lines) DF <- read.table(textConnection(Lines2), as.is = TRUE, sep = ""="", fill = TRUE) L <- DF$V1 == """" subset(transform(DF, V3 = V2[which(L)[cumsum(L)]])[1:3], V1 != """") On 6/12/07, Gabor Grothendieck  wrote: > Here is some code. It replaces [ and ] with = sign and reads the result > into a data frame, DF.  DF2 is similar except the section is now in V3. > DF3 is like like DF2 except sections are carried forward and finally > we remove the rows which only had sections. > > Lines.raw <- ""[Section1] > var1=value1 > var2=value2 > [Section2] > A=value3 > B=value4 > "" > > Lines <- readLines(textConnection(Lines.raw)) > Lines2 <- chartr(""[]"", ""=="", Lines) > DF <- read.table(textConnection(Lines2), as.is = TRUE, sep = ""="", fill = TRUE) > DF2 <- transform(DF, V3 = ifelse(V1 == """", V2, NA)) > L <- !is.na(DF2$V3) > DF3 <- transform(DF2, V3 = V3[c(NA, which(L))[cumsum(L)+1]]) > subset(DF3, V1 != """") > > The result is: > >    V1     V2       V3 > 2 var1 value1 Section1 > 3 var2 value2 Section1 > 5    A value3 Section2 > 6    B value4 Section2 > > > On 6/12/07, Earl F. Glynn  wrote: > > I need to process some datasets where the configuration information was > > stored in .INI-like files, i.e., text files with sections like this: > > > > [Section1] > > var1=value1 > > var2=value2 > > [Section2] > > A=value3 > > B=value4 > > > > ... > > > > >From Google and other searches I haven't found any package, or function > > within a package, that reads .INI files into an R list, or other data > > structure. > > > > > > > > Any suggestions, or do I need to write my own? > > > > efg > > > > Earl F. Glynn > > Stowers Institute for Medical Research > > > > ______________________________________________ > > R-help@stat.math.ethz.ch mailing list > > https://stat.ethz.ch/mailman/listinfo/r-help > > PLEASE do read the posting guide http://www.R-project.org/posting-guide.html > > and provide commented, minimal, self-contained, reproducible code. > > > ______________________________________________ R-help@stat.math.ethz.ch mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented, minimal, self-contained, reproducible code.",safe
"Hi CS352-ers,

In my previous mail, the cache contents were not aligned properly.

-----------------------------------------------------------------------

Note the following about the order in which cache lines are printed
to output file.

When you have multiple invalid cache lines within a set, I choose the last
line for replacement. This is purely implementation dependent and has no
design issues. For example, initial cache status

Set Valid Tag Modified Data
0    F    0    F        0
0    F    0    F        0

Command: Load 1000

Say, address 1000 matches to index 0. Now I can load 1000 in the first line 
or the second line (since it is a two
way set associative cache. My implementation chooses the second one. Hence
the output is:

Set Valid Tag  Modified Data
0    F    0      F        0
0    T    100    F        1000


Make sure, you print the cache lines in the order that matches with the output files so
that ""diff"" will not give any differences.

Madhavi



",safe
